name,height,weight,pet
Stephanie,6.6,195.292,Cat
Joyce,7.5,236.98,Dog
James,7.6,241.612,Cat
Nicholas,5.2,130.444,Dog
Kathleen,6.8,204.556,Cat
Anthony,7.9,255.508,Dog
Sean,4.4,93.388,Dog
Barbara,5.8,158.236,Dog
Catherine,4.5,98.02,Dog
Marilyn,4.5,98.02,Cat
Larry,6.8,204.556,Dog
Juan,6.4,186.028,Dog
Lois,6.2,176.764,Dog
Christina,3.3,42.436,Dog
Paula,6.2,176.764,Dog
Lori,6.1,172.132,Dog
Peter,4.5,98.02,Dog
Marilyn,7.8,250.876,Dog
Ernest,6.8,204.556,Dog
Judy,4.1,79.492,Dog
Louise,6.6,195.292,Dog
Judith,7.3,227.716,Dog
Janice,6.8,204.556,Dog
Frances,3,28.54,Cat
Christopher,4.9,116.548,Dog
Cheryl,5.5,144.34,Dog
Linda,3.4,47.068,Dog
Steve,4.1,79.492,Dog
Sharon,4.6,102.652,Dog
Barbara,4.8,111.916,Dog
Gregory,4.5,98.02,Cat
Edward,5.7,153.604,Cat
Anne,6.5,190.66,Cat
Nicholas,7.4,232.348,Cat
Jesse,5.8,158.236,Cat
Diana,6.5,190.66,Cat
Anthony,4,74.86,Dog
Nicole,7.4,232.348,Dog
William,6.2,176.764,Dog
Michelle,7,213.82,Cat
Patrick,7.9,255.508,Dog
Fred,6.6,195.292,Cat
Nicholas,3.4,47.068,Cat
Phillip,4.4,93.388,Dog
Craig,4.8,111.916,Cat
Elizabeth,6.2,176.764,Cat
Rachel,6.6,195.292,Dog
Thomas,7.4,232.348,Dog
George,6,167.5,Cat
Nancy,6.9,209.188,Dog
Diane,4.4,93.388,Dog
Gregory,5.5,144.34,Cat
Tammy,7.7,246.244,Dog
Brenda,7.7,246.244,Dog
Richard,5.7,153.604,Dog
Rose,6.8,204.556,Dog
Sara,7.2,223.084,Cat
Benjamin,7.9,255.508,Cat
Jacqueline,4.8,111.916,Dog
Jerry,7.4,232.348,Dog
Pamela,7.6,241.612,Dog
Annie,4.6,102.652,Dog
Ruby,6.6,195.292,Dog
Janice,8,260.14,Dog
Brandon,3.9,70.228,Cat
Craig,5.4,139.708,Cat
Brandon,4.7,107.284,Dog
Jimmy,6.9,209.188,Dog
Sara,4.3,88.756,Dog
Robert,7.7,246.244,Cat
Gary,7.6,241.612,Cat
Margaret,4.4,93.388,Cat
Stephanie,3.7,60.964,Dog
Kenneth,7.1,218.452,Cat
Cynthia,6.6,195.292,Cat
Brenda,4.6,102.652,Dog
Janet,3.6,56.332,Dog
Cynthia,4.9,116.548,Dog
Anne,4.9,116.548,Dog
Richard,6.4,186.028,Dog
Wayne,8,260.14,Dog
Terry,3.9,70.228,Dog
Cheryl,5.3,135.076,Cat
Roy,3.8,65.596,Dog
John,5.6,148.972,Cat
Lawrence,6.9,209.188,Dog
Ruby,5,121.18,Cat
Kelly,5.7,153.604,Cat
Laura,3.8,65.596,Dog
Laura,7.9,255.508,Dog
Chris,4.8,111.916,Dog
Lori,6.4,186.028,Dog
David,6.9,209.188,Dog
Louise,5.4,139.708,Dog
Catherine,7.1,218.452,Dog
Patricia,5.3,135.076,Cat
Johnny,7,213.82,Dog
Samuel,5.1,125.812,Cat
